;;;→Unit;kJ/100g;kJ/100g;kcal/100 g;kcal/100 g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;RE (µg/100g);µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;alfa-TE;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;NE;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;µg/100g;mg/100g;µg/100g;mg/100g;µg/100g;µg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;%;No Unit;No Unit;g/ml;No Unit;;;
Sukker, brunt rørsukker;Sugar, brown cane sugar;1414;1414;1697;1697;399;399;0,5;;0,5;99,3;99,3;99,3;0,0;0,0;0,0;0,0;0,2;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0;;0,00;0,00;0,00;;6,0;89,0;53,0;15,0;;0,9;0,1;0,1;;;;;0,0;;;;20;;35,00;;0,00;14,00;;;;;;;219;;;;;;;;;;99,30;99,30;99,30;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;;;;0,00;0,00;0;0,08;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0,0;6,25;0,800;0,950;;102;Sukker;Sugar
Hvedekim, rå;Wheat germ, raw;1084;1084;1593;1673;379;398;27,9;24,5;29,9;51,4;39,1;41,8;12,3;9,6;0,0;0,0;4,4;93,3;6,7;0,0;0,0;0,0;;0,00;0,00;;;;11,00;11,00;;;;0,0;39,00;;;;;;;;;39,0;1,45;;0,61;5,58;5,80;1,42;1,20;;190;;0,00;0,00;0,00;;5,5;1046,0;41,0;259,0;1400,0;5,0;1,1;17,8;18,0;1,0;30,0;2;3,0;1,10;4,00;250,00;1000;140,0;;2300,00;0,25;170,00;80,00;0,20;6,00;15,00;2,00;;2357;;;;;;;;;;15,70;0,00;0,00;;;26,10;;;;;;;;;;;;;;;;;;;;;;;;;1,23;0,00;0,07;0,06;;;;;;;;0,04;0,00;;1,03;;;0,02;;;;;;;;;;3,99;;0,27;;;;;;;0,01;;;;;;;;;;;;1,36;1,09;4,27;;;6,72;0,27;4,00;0;4,79;1005;2010;718;474;766;1340;909;814;335;1340;1388;622;1101;1484;8183;1196;3159;1579;;;8657;19765;;0,003;179;;;;;;;0,003;0,0;5,83;0,700;;;28;Korn og gryn;Grain and groats
Salat, mayonnaise-, makrel-;Mackerel mayonnaise salad;90;90;1643;1643;398;398;8,9;;8,9;2,8;2,5;2,5;0,3;39,1;0,0;0,8;1,4;52,2;47,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;302,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;302;;;;;;;;;;2,50;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,15;;;;1,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;6,25;0,950;;;130;Fede salater;Fatty salads
Wienerbrød, spandauer;Danish pastry, square;181;181;1651;1658;397;398;4,7;4,1;5,2;34,5;33,0;33,0;1,5;27,0;0,0;0,8;1,8;68,0;32,0;244,0;;;;0,10;;;;;1,10;1,10;;;;0,3;;;;;;;;;;;0,10;;0,10;1,86;1,10;0,00;;;16;;0,20;0,20;;;325,0;139,0;62,7;17,0;;0,4;;0,7;;;;;2,4;;;;106;;;;14,90;;;;;;;;650;;;;;;;;;;17,00;;;;;16,00;;;;;;;;;;;;;;;;;0,00;0,00;0,04;0,03;0,16;;0,33;;6,66;0,00;1,78;0,14;;0,00;;0,00;;0,00;;0,17;;0,00;12,16;;;0,13;;0,00;0,00;0,00;;;;;;3,20;;0,67;;0,00;0,00;0,00;0,00;;;0,00;;;;;0,00;;0,00;;;0,00;9,16;12,46;3,87;;;25,48;0,67;3,20;;0,83;223;363;132;83;81;239;107;149;45;248;239;107;182;289;1419;198;421;239;;;1522;3037;;;21,8;;;;;;;;0,0;5,7;0,945;;;33;Kager;Cakes
Leverpølse, pålæg;Sausage, liver sausage;144;144;1624;1639;393;396;13,4;11,5;13,4;4,3;4,1;5,0;0,2;35,8;0,0;2,3;2,9;56,4;43,6;5260,0;;;;0,90;;;;;;;;;;;;;;;;;;;;;;;;2,39;;;;;;;11,00;0,00;0,00;;901,0;171,0;26,0;12,0;;7,1;0,4;2,9;;;;;58,0;;;;230;;;;;;;;;;;;1347;;;;;;;;;;0,00;0,00;0,00;;;5,00;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,54;;8,54;;4,12;;;;;;;;;1,32;;;15,01;;;0,00;;0,00;;;;;;;;3,05;;0,17;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;13,20;16,34;3,23;;;32,76;0,17;3,05;158;2,14;622;1072;1093;279;142;579;343;643;144;815;772;429;793;1115;2080;1051;815;665;;;5675;7774;;;256;;;;;;;;0,0;6,25;0,915;;;65;Pålægsvarer;Cold cuts
Gruyere, 45+;Cheese, hard, Gruyere, 45 % fidm.;341;341;1646;1646;396;396;29,9;26,4;29,3;1,4;1,4;2,0;0,0;30,1;0,0;1,5;3,2;64,6;35,4;278,0;256,0;132,0;;0,29;0,29;;;;0,77;0,77;;;;;0,00;;;;;;;;;0,0;0,04;;0,50;6,97;0,10;0,08;0,30;1,70;20;;1,50;0,00;0,00;;613,0;120,0;990,0;25,0;;0,4;0,0;4,0;0,1;0,3;;;10,0;;;;610;;947,00;;10,44;;1,00;;;0,01;0,55;;3305;;;;;0,00;;;;;;0,00;0,00;;;0,00;;;;;;;;;;;;;;;2,10;;1,02;0,65;0,43;0,94;1,17;;3,33;;8,90;;3,04;;;;;;;0,43;;0,65;;;6,68;;;0,34;;;;;;;;;;0,63;;0,23;;;;;;;;;;;;;;;;;;;19,48;8,10;0,86;;;28,44;0,23;0,63;99;4,69;1640;2765;2390;844;108;1547;1640;1031;412;2015;937;844;937;2109;5859;609;3140;1687;;;13489;17028;3,500;0;15,4;68,4;;62,8;17,8;;;152,5;0,0;6,38;0,945;;;13;Fast løbeost;Firm rennet cheese
Kokosnød, rå;Nut, coco, raw;88;88;1584;1607;385;390;4,0;3,9;4,7;17,1;3,1;3,7;14,0;36,5;0,0;0,1;1,2;58,8;41,2;0,0;0,0;0,0;;0,00;0,00;;;;0,15;0,15;;;;;0,20;;;;;;;;;0,2;0,03;;0,01;2,24;0,60;0,06;0,20;0,50;24;10;0,00;2,00;2,00;;21,0;331,0;10,8;43,0;;1,8;0,3;0,5;0,0;1,4;;;2,0;;;;117;;;;0,30;;129,10;;;2,90;13,50;;525;;;;;;;;;;3,70;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;0,00;0,69;4,33;2,68;15,32;;5,68;;2,43;0,00;0,76;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;2,03;;;0,00;;0,00;0,00;0,00;;;;;;0,78;;0,00;;0,00;0,00;0,00;0,00;;;0,00;;;;;0,00;;0,00;;;0,00;31,89;2,03;0,78;;;34,70;0,00;0,78;0;0,75;181;317;166;83;75;211;128;158;98;257;619;98;211;415;883;211;174;226;;;1570;2943;;0,003;12,1;;;;;;;0,003;47,1;5,3;0,950;;;53;Nødder;Nuts
Papaya, rå;Papaya, raw;510;510;197;164;47;39;0,7;;0,7;11,4;9,4;7,4;2,1;0,3;0,0;0,0;0,5;12,9;87,1;39,4;0,0;236,1;;0,00;0,00;;;;0,28;;;;;;;;;;;;;;;;0,03;;0,03;0,49;0,34;0,02;0,22;;58;;0,00;78,50;78,50;;4,4;197,0;24,6;21,7;;0,7;0,0;0,1;0,0;;;;1,0;;;;10;;;;0,10;;3,00;;;;;;259;3,66;;3,78;7,44;;;0,00;0,00;;7,44;0,00;0,00;0,00;0,00;0,00;;;;;;0,77;0,91;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,01;;0,06;;0,00;;;;;;;;;0,04;;;0,03;;;0,00;;0,00;;;;;;;;0,01;;0,05;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,08;0,07;0,06;;;0,21;0,05;0,01;0;0,11;9;17;28;2;;10;6;12;9;11;11;6;15;54;37;19;11;16;;;103;169;;1,5;6,1;;;;;;;1,5;33,0;6,25;0,800;;;52;Sydfrugt;Tropical or subtropical fruit
Æblejuice;Apple juice;1866;1866;189;164;44;39;0,0;;0,0;11,2;11,0;9,5;0,2;0,0;0,0;0,0;0,2;11,4;88,6;0,0;0,0;0,0;;0,00;;;;;0,01;0,01;;;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,11;0,11;0,00;0,04;0,63;0;;0,00;0,00;0,00;0,00;1,9;103,7;10,6;4,8;;0,1;0,0;0,0;0,0;0,0;;;0,9;;;;6;;;;0,60;;0,54;;;;;;127;6,04;0,00;2,16;8,20;0,00;0,00;1,29;1,29;;9,49;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,01;;;;;;;;;;;;;;;;;;;;;;;;;1,8;;;;;;;;0,0;6,25;;1,043;3,6;186;Frugtjuice, frugtsaft og smoothies;Fruit juice and smoothies
Mandarin, rå;Mandarin orange, raw;560;560;201;166;47;39;0,8;0,5;0,8;11,8;10,3;8,3;1,4;0,0;0,0;0,0;0,3;12,9;87,1;15,8;0,0;95,0;;0,00;0,00;;;;0,59;0,59;;;;;;;;;;;;;;;0,16;;0,02;0,44;0,31;0,08;0,15;0,53;21;19;0,00;36,96;35,49;1,47;1,3;154,1;26,4;10,0;;0,1;0,0;0,0;0,0;0,0;0,0;;0,0;;;;19;;;;0,05;;2,26;0,00;0,04;0,00;0,10;;211;1,63;;1,33;2,96;;;5,35;5,35;;8,31;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;0,30;;0,00;0,00;0,00;0,00;0,00;;0,00;;0,00;;0,00;;;;;;;;;0,00;;;0,00;;;0,00;;0,00;;;;;;;;0,00;;0,00;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,00;0,00;0,00;;;;0,00;0,00;0;0,13;22;20;41;17;9;27;14;13;8;34;56;15;43;97;80;80;40;28;;;196;448;;0,003;10,2;;;;;;;0,003;21,4;6,25;0,489;;;52;Sydfrugt;Tropical or subtropical fruit
Sodavand, tilsat sukker;Soft drink, sugar added;1889;1889;175;165;41;39;0,0;;0,0;10,3;10,3;9,7;0,0;0,0;0,0;0,0;0,0;10,3;89,7;4,0;0,0;23,9;;0,00;;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,00;0,00;;0,00;0,07;0,07;0,00;0,01;0,37;0;;0,00;3,85;3,71;0,13;4,7;8,7;4,1;0,8;;0,0;0,0;0,0;0,0;0,0;;;0,6;;;;3;;;;0,53;;2,01;;;;;;21;1,87;0,00;1,94;3,81;0,00;0,00;5,91;5,91;;9,72;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,0;6,25;;1,037;3,1;111;Vand og mineralvand;Water and carbonated drinks
Krydder;Wheat rusk;426;426;1629;1643;385;389;9,3;8,4;10,2;75,6;72,3;72,3;3,3;5,8;0,0;0,4;1,5;92,2;7,8;86,2;84,0;13,0;;0,44;0,44;;;;0,90;0,90;;;;0,2;0,00;;;;;;;;;0,0;0,13;;0,02;1,82;1,30;0,09;;;;;0,00;0,00;0,00;;165,7;189,0;20,0;22,4;;0,7;;1,2;;;;;4,5;;;;120;;;;8,40;;;;;;;;518;;;;;;;;;;9,80;5,00;5,00;;;62,50;;;;;;;;;;;;;;;;;;;;0,02;0,11;;0,25;;0,91;;0,70;0,08;;0,04;;;;;;0,28;;;1,91;;;0,19;;0,07;;;;;;;;0,83;;;0,13;;;;;;;;;;;;;;;;;;2,11;2,44;0,96;;;5,51;;0,96;0;1,63;424;702;245;155;160;473;196;310;109;506;359;212;359;506;3052;392;1028;539;;;3137;6590;;;;;;;;;;;0,0;5,7;0,950;;;31;Brød;Bread
Riskiks/riskage, poppede brune ris;Rice cake/cracker, puffed brown rice, plain;1748;1748;1591;1645;376;388;8,2;6,1;8,6;81,5;77,3;80,1;4,2;2,8;0,0;0,4;1,7;94,2;5,8;0,0;0,0;;;;;;;;0,62;0,62;;;;;1,90;;;;;;;;;1,9;0,06;0,06;0,17;9,54;7,81;0,15;1,00;;21;;0,00;0,00;;;166,0;290,0;11,0;131,0;;1,5;0,4;3,0;3,7;;;;24,6;;;;360;0,0;;;;;;;;;;;959;;;;;;;;;;0,89;;;;;79,20;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,01;;0,48;;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;0,00;;0,00;;;;0,54;1,03;0,00;;;0,54;0,00;;0;1,38;346;675;311;184;99;421;306;299;104;479;618;207;476;764;662;402;383;422;;;3026;4132;;;32,1;;;;;;;;0,0;5,95;0,193;;;32;Kiks og småkager;Biscuits and cookies
Tørkage, linse;Pastry, 'linse';351;351;1609;1618;385;387;5,6;5,0;6,1;42,4;40,1;40,1;2,3;22,0;0,0;0,4;1,0;71,0;29,0;208,0;;;;0,40;;;;;1,80;;;;;;;;;;;;;;;;0,10;;0,10;2,42;1,30;0,00;;;9;;0,20;0,30;;;162,6;130,0;46,7;17,0;;0,7;;0,6;;;;;4,0;;;;89;;;;6,38;;;;;;;;446;;;;;;;;;;14,00;20,00;20,00;;;26,10;;;;;;;;;;;;;;;;;0,00;0,00;0,14;0,11;0,87;;0,50;;5,21;0,00;1,44;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;9,40;;;0,00;;0,00;0,00;0,00;;;;;;2,27;;0,54;;0,00;0,00;0,00;0,00;;;0,00;;;;;0,00;;0,00;;;0,00;8,25;9,40;2,81;;;20,46;0,54;2,27;;0,98;293;459;264;127;107;312;146;205;67;332;273;137;244;400;1435;205;468;351;;;2187;3620;;;;;;;;;;;0,0;5,7;0,930;;;33;Kager;Cakes
Remoulade, uspec.;Remoulade, average values;1250;1250;1568;1590;380;385;1,1;;1,1;11,2;10,7;12,0;0,5;36,8;0,0;0,7;2,1;51,2;48,8;54,0;54,0;;;1,02;1,02;;;;7,50;7,50;;;;;0,00;;;;;;;;;0,0;0,03;;0,04;0,00;0,00;0,04;0,40;0,20;7;7;1,10;2,00;2,00;;265,0;49,0;14,0;3,0;;1,2;0,1;0,6;0,1;7,0;;;1,6;;;;55;;;;5,00;;;;;;;;387;;;;;;;;;;12,00;12,00;12,00;;;0,00;0,13;0,01;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,04;;1,98;0,00;0,67;0,23;;0,13;;0,06;;0,00;;0,08;;0,00;19,34;;;0,47;;0,23;0,00;0,07;;;;;;8,53;;3,37;;0,00;0,04;0,00;0,00;;;0,00;;;;;0,00;;0,00;;;0,00;3,10;20,19;11,94;;;35,22;3,37;8,57;100;0,18;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;0,0;6,25;0,956;;;97;Mayonnaise, remoulade o.l.;Mayonnaises,  remoulade etc
Knækbrød, hvede-, fint;Crispbread, knackebrot, wheat, fine;772;772;1684;1625;399;385;11,3;9,9;12,4;72,0;67,2;62,6;4,8;8,4;0,0;1,0;1,9;93,6;6,4;52,2;51,0;7,0;;0,00;0,00;;;;1,40;1,40;;;;;0,00;;;;;;;;;0,0;0,33;;0,11;2,45;4,80;0,16;;;84;;0,00;0,00;0,00;;394,0;147,0;116,0;64,8;470,0;1,9;0,3;1,5;3,5;3,9;10,0;7;2,3;2,10;13,00;150,00;199;100,0;690,00;200,00;20,00;140,00;52,70;0,00;0,00;6,10;0,00;;1613;0,20;;0,40;0,60;;;1,00;1,00;;1,60;0,00;0,00;;;61,00;;;;;;;;;;;;;;;;;;;;;0,00;;0,01;;1,10;;0,06;;;;;;;;;;;;;;;;;;;;;;;;;3,55;;0,22;;;;;;;;;;;;;;;;;;;1,18;0,67;3,78;;;5,63;0,22;3,55;0;1,99;498;836;557;219;141;557;259;458;147;716;617;279;577;915;2567;517;1095;577;;;4267;7265;;;20,2;;;;;;;;0,0;5,7;0,670;;;31;Brød;Bread
Sojabønner, tørrede, rå;Beans, soy, dried, raw;1217;1217;1720;1602;412;384;35,5;30,1;35,5;34,4;17,8;10,9;16,6;18,4;0,0;0,0;4,7;93,0;7,0;2,2;0,0;13,0;;0,00;0,00;;;;0,85;0,85;;;;;47,00;;;;;;;;;47,0;0,87;;0,87;9,19;1,62;0,42;1,92;60,00;280;25;0,00;;;;4,0;1676,0;163,0;225,0;;15,7;0,1;1,0;2,0;16,8;;;8,8;;;;467;;;;0,60;;291,40;0,10;0,00;5,72;9,36;;2551;;;;;;;6,10;6,10;;6,10;0,00;0,00;;;4,80;;;;;;;;;;;;;;;;;;;;;0,02;;0,03;;1,74;;0,69;0,05;;0,02;;;;;;0,03;;;4,35;;;0,03;;;;;;;;;;9,05;;1,29;;;;;;;;;;;;;;;;;;;2,56;4,41;10,33;;;17,30;1,29;9,05;0;5,67;1611;2757;2264;448;471;1753;1112;1367;454;1702;2564;896;1509;4147;6632;1481;1946;1816;;;13254;21679;;0,003;116;;;;;;;0,003;0,0;6,25;0,940;0,740;;173;Tørrede bælgplanter;Dried pulses
Dressing, thousand island;Salad dressing, thousand island;1223;1223;1561;1589;378;384;1,1;0,9;1,1;14,7;14,3;15,9;0,4;35,1;0,0;2,2;2,7;53,5;46,5;19,3;4,0;92,0;;0,00;0,00;;;;4,00;4,00;;30,00;;;0,00;;;;;;;;;0,0;1,45;;0,06;0,68;0,42;0,00;0,00;0,00;0;;0,00;0,00;0,00;;863,0;107,0;17,0;8,0;;1,2;;0,3;;;;;1,0;;;;27;;;;5,00;;;;;;;;1023;;;;;;;;;;13,40;;;;;2,50;;;;;;2,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,10;;0,10;;4,41;;1,33;;;;;;;;;0,20;;;7,90;;;0,00;;0,00;;;;;;;;16,91;;2,56;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;5,94;8,11;19,47;;;33,52;2,56;16,91;26;0,17;63;92;73;28;19;47;47;59;16;66;75;26;54;90;132;33;45;90;;;470;586;;;4,6;;;;;;;;0,0;6,25;0,956;1,000;;98;Dressings;Dressings
Spegepølse, oksekød;Sausage, beef salami;287;287;1587;1587;383;383;19,1;16,1;19,1;0,0;0,0;0,0;0,0;34,1;0,0;9,0;7,1;60,3;39,7;0,0;0,0;0,0;;0,60;;;;;1,56;;;;;;2,76;12,63;0,00;0,30;1,08;0,22;0,15;0,1;14,1;16,8;0,31;;0,13;3,81;;0,20;;;1;;0,75;0,00;0,00;;3583,0;287,0;37,8;17,5;;2,9;0,1;5,5;;;;;8,0;;;;150;;;;0,00;;;;;;;;4078;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,16;16,22;3,43;;;31,23;0,26;3,00;89;3,22;965;1512;1672;482;145;772;643;836;228;1029;1190;675;1158;1769;2830;1093;900;804;;;6660;8580;;;72,6;;;;;;;;0,0;6,25;0,915;;;65;Pålægsvarer;Cold cuts
Cheshire, 50+;Cheese, hard, Cheshire, 50 % fidm.;214;214;1579;1579;381;381;24,0;21,2;23,5;1,0;1,0;1,5;0,0;31,2;0,0;1,5;2,9;59,1;40,9;287,8;265,0;137,0;;0,30;0,30;;;;0,80;0,80;;;;;0,00;;;;;;;;;0,0;0,04;;0,50;5,62;0,10;0,08;0,30;1,70;20;;1,50;0,00;0,00;;613,0;120,0;890,0;25,0;;0,4;0,0;4,0;0,1;0,3;;;8,0;;;;430;;947,00;;10,44;;4,00;;;0,01;0,50;;3025;;;;;0,00;;;;;;0,00;0,00;;;0,00;;;;;;;;;;;;;;;2,10;;1,06;0,68;0,44;0,97;1,21;;3,45;;9,23;;3,15;;;;;;;0,44;;0,68;;;6,93;;;0,35;;;;;;;;;;0,65;;0,24;;;;;;;;;;;;;;;;;;;20,19;8,40;0,89;;;29,48;0,24;0,65;103;3,76;1317;2220;1919;677;87;1241;1317;828;331;1618;752;677;752;1693;4703;489;2521;1354;;;10827;13667;3,500;0;16,5;68,4;;62,8;17,8;;;152,5;0,0;6,38;0,945;;;13;Fast løbeost;Firm rennet cheese
Flødeost, 70+;Cheese, Cream, 70 % fidm.;1304;1304;1569;1570;380;380;9,6;8,5;9,4;1,9;1,9;2,2;0,0;36,9;0,0;1,2;1,6;50,6;49,4;341,0;314,0;162,0;;0,36;0,36;;;;0,94;0,94;;;;;0,00;;;;;;;;;0,0;0,04;;0,20;2,31;0,10;0,06;0,27;1,50;13;;0,22;0,00;0,00;;472,0;119,0;230,0;6,0;;0,3;0,1;0,5;0,0;0,3;6,0;;3,0;;;;140;;;;10,44;;1,00;;;0,01;0,45;;967;;;;;2,19;;;2,19;;2,19;0,00;0,00;;;0,00;;;;;;;;0,58;0,03;;;;;;;0,61;1,26;0,80;0,52;1,15;1,43;;4,08;;10,91;;3,73;;;;;;;0,52;;0,80;;;8,19;;;0,42;;;;;;;;;;0,77;;0,28;;;;;;;;;;;;;;;;;;;23,88;9,94;1,05;;;34,87;0,28;0,77;122;1,51;527;888;768;271;35;497;527;331;132;647;301;271;301;677;1881;196;1008;542;;;4331;5468;0,400;0;26,8;;;0,33;;;;0,73;0,0;6,38;0,945;;;14;Blød løbeost;Soft rennet cheese
Fruktose;Fructose;1006;1006;1696;1615;399;380;0,0;;0,0;99,8;99,8;95,0;0,0;0,0;0,0;0,0;0,2;99,9;0,1;0,0;0,0;0,0;;0,00;0,00;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0;;0,00;0,00;0,00;;0,1;0,3;0,1;0,0;100,0;0,1;0,0;0,0;0,0;1,0;10,0;1;0,5;0,30;0,50;30,00;0;60,0;;100,00;5,00;10,00;3,00;0,20;3,00;0,50;10,00;;1;95,00;;;95,00;0,00;;0,00;0,00;;95,00;95,00;95,00;;;0,00;;;;;;;;;;;;;;;;;;;;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;0,00;;;;;;;;;;;;;;;;;;;0,00;;0,00;;;;0,00;0,00;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0,0;6,25;0,700;;;101;Andre sukkervarer;Other sweet products
Rødbede, dansk, rå;Beet, red, danish, raw;1390;1390;173;158;41;38;1,1;0,5;1,1;10,2;8,1;7,2;2,1;0,0;0,0;0,2;0,8;12,1;87,9;0,0;0,0;0,0;;0,00;;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,00;;0,02;0,07;0,07;0,03;0,13;0,00;33;;;1,87;;;65,9;303,8;15,5;13,9;;0,2;0,1;0,3;0,3;0,0;1,9;;0,0;;;;24;;;;3,13;;;;;;;;423;0,00;0,00;0,10;0,10;0,00;0,00;6,54;6,54;;6,64;;;;;0,60;;;1,55;0,52;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,18;0;32;30;0;12;0;0;23;0;29;30;0;27;70;333;13;3;30;0;;114;518;;;6;;;;;;;;5,0;6,25;0,800;;;39;Rod- og knoldgrøntsager;Root and tuber vegetables
Koncentreret blandet frugt- og bærsaft, tilsat kunstig sødestof, fortyndes 1+4;Concentrated mixed fruit juice, artificial sweetener added, dilution: 1+4;1877;1877;203;161;48;38;0,3;;0,3;11,7;11,6;9,1;0,1;0,0;0,0;0,0;0,3;12,2;87,8;0,0;0,0;0,0;;0,00;;;;;0,07;0,07;;;;;0,00;;;;;;;;;0,00;0,00;;0,00;0,24;0,24;0,00;0,06;0,63;1;;0,00;;0,00;0,00;2,8;121,0;16,9;7,1;;0,3;0,0;0,0;0,1;;;;0,0;;;;10;;;;1,47;;;;;;;;158;5,10;0,00;3,72;8,82;0,00;0,00;0,30;0,30;;9,12;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,05;;;;;;;;;;;;;;;;;;;;;;;;;2,0;;;;;;;;0,0;6,25;;1,044;3,4;186;Frugtjuice, frugtsaft og smoothies;Fruit juice and smoothies
Grønkål, dansk, rå;Kale, Danish, raw;1391;1391;177;158;43;38;3,4;2,6;3,4;8,3;2,4;1,4;5,8;0,8;0,0;0,0;1,5;14,1;85,9;424,8;0,0;2548,8;;0,00;;;;;2,55;2,55;;;;;76,94;;;;;;;;;76,9;0,05;;0,19;2,42;1,42;0,27;0,34;7,00;90;;;46,40;;;11,7;461,3;245,0;24,9;;1,4;0,0;0,3;0,4;0,0;47,5;;2,1;;;;64;;;;0,00;;;;;;;;808;0,73;0,00;0,61;1,34;0,00;0,00;0,03;0,03;;1,36;;;;;0,00;;;5,38;0,45;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;0,55;126;226;190;55;39;163;104;145;60;179;190;73;183;309;393;147;233;163;0;;1217;1761;;;0,5;;;;;;;;40,0;6,25;0,800;;;40;Blad- og stængelgrøntsager;Leaf and stem vegetables
